,percent,ratio,overlap,doc_text,src,tgt,s_id,doc_id
103,1.0,0.7129629629629629,The officers who were granted commission under the Army instruction were not entitled to PC or to any extension beyond five years of commissioned service.,The original ToE provided for a contractual period of five years after which the officers were to be released from service. The officers who were granted commission under the Army instruction were not entitled to PC or to any extension beyond five years of commissioned service.,The officers who were granted commission under the Army instruction were not entitled to PC or to any extension beyond five years of commissioned service.,"जिन अधिकारियों को सेना के निर्देश के तहत कमीशन दिया गया था, वे पीसी या कमीशन सेवा के पांच साल से परे किसी भी विस्तार के हकदार नहीं थे।",0b00e9d2-e44a-4476-853a-749818bacf81,0ae333e5-9cc2-4798-be8e-1a5e6368526c
155,0.9917127071823204,0.5890073831009024,"On 1 August 1996, an amendment was issued to the WSES, under which the commission for an initial period of five years was made further extendable by five years in the Regiment of Artillery, Corps of Engineers, Corps of Signals, Army Service Corps, Army Ordinance Corps, Corps of Electrical and Mechanical engineers, AEC, Intelligence Corps and JAG department.","On 1 August 1996, an amendment was issued to the WSES, under which the commission for an initial period of five years was made further extendable by five years in the Regiment of Artillery, Corps of Engineers, Corps of Signals, Army Service Corps, Army Ordinance Corps, Corps of Electrical and Mechanical engineers, AEC, Intelligence Corps and JAG department. Women who had been granted commission for an initial period of five years were required to furnish an option for extension by five years or for release. A provision was made for promotion on a substantive basis to the rank of a Lieutenant after two years and to the rank of Captain after five years. The provision contained in para 19 of the earlier Army instruction for the release from service on the completion of the contractual period of five years was substituted by the following provision:","9. On 1 August 1996, an amendment was issued to the WSES, under which the commission for an initial period of five years was made further extendable by five years in the Regiment of Artillery, Corps of Engineers, Corps of Signals, Army Service Corps, Army Ordinance Corps, Corps of Electrical and Mechanical engineers, AEC, Intelligence Corps and JAG department.","9. 1 अगस्त, 1996 को WES को एक संशोधन जारी किया गया था, जिसके तहत आर्टिलरी, कोर ऑफ इंजीनियर्स, सिग्नल की कोर, आर्मी सर्विस कोर, आर्मी ऑर्डिनेंस कोर, कोर ऑफ इलेक्ट्रिकल और मैकेनिकल इंजीनियरों की कोर, एईसी, इंटेलिजेंस कोर और जेएजी विभाग की रेजिमेंट में पांच साल तक आयोग को और अधिक विस्तार दिया गया था।",10f14a06-aaf9-4212-b005-2033c4a46302,068b4c0d-91b1-4369-9083-e715c1a09b8a
566,1.0,0.896551724137931,SAI NO 1/5/92,SAI NO 1/5/92,14 SAI NO 1/5/92,14 साइए सं 1/5/92,27bac28b-fb0c-4e97-9544-d167ba6c18be,3e97286b-0f46-4c0d-a8c2-82f94b3e4984
722,1.0,0.5427350427350427,"The Army instruction broadly followed the same course, as a consequence of which a cap on the length of service was introduced.","November 2005, the MoD provided that the tenure of WSES officers would be extended up to fourteen years. The Army instruction broadly followed the same course, as a consequence of which a cap on the length of service was introduced. The initial process of induction under the WSES was replaced by SSCs with an outer period of fourteen years.","The Army instruction broadly followed the same course, as a consequence of which a cap on the length of service was introduced.","सेना के निर्देश ने मोटे तौर पर उसी पाठ्यक्रम का पालन किया, जिसके परिणामस्वरूप सेवा की लंबाई पर एक कैप पेश किया गया था।",564710e6-3d68-4280-ae52-c35657ea737a,ce490d04-1b1a-4a96-8da1-c4ca8fc6644a
825,1.0,0.9712460063897763,"The contesting respondents (other than the first respondent, who is not an Army officer) were selected in the Army as SSC officers commencing from 1995-","The contesting respondents (other than the first respondent, who is not an Army officer) were selected in the Army as SSC officers commencing from 1995-","11. The contesting respondents (other than the first respondent, who is not an Army officer) were selected in the Army as SSC officers commencing from 1995-  96.","11. प्रतियोगिता के उत्तरदाताओं (पहली प्रतिवादी के अलावा, जो एक सैन्य अधिकारी नहीं है) को सेना में 1995-96 से शुरू होने वाले एसएससी अधिकारियों के रूप में चुना गया था।",0fd7cff1-089d-4bd3-9744-f34fca9822b9,74cf092a-375d-4c58-97a6-df7c3aa990de
877,1.0,0.9900990099009901,"In February 2003, Babita Puniya, an advocate instituted a Writ Petition in the nature of a Public Interest Litigation before the Delhi High Court for the grant of PC to women SSC officers in the Army.","In February 2003, Babita Puniya, an advocate instituted a Writ Petition in the nature of a Public Interest Litigation before the Delhi High Court for the grant of PC to women SSC officers in the Army.","12. In February 2003, Babita Puniya, an advocate instituted a Writ Petition in the nature of a Public Interest Litigation before the Delhi High Court for the grant of PC to women SSC officers in the Army.","12. फरवरी 2003 में, बबीता पुनिया, एक अधिवक्ता ने सेना में महिला एसएससी अधिकारियों को पीसी देने के लिए दिल्ली उच्च न्यायालय के समक्ष एक जनहित याचिका की प्रकृति में एक रिट याचिका की स्थापना की।",85fc254c-b69b-4365-8d53-fddb0e3eb3c1,73365bd2-4a13-4c47-bfb0-0f3ef593ec8f
1185,1.0,0.926829268292683,WP (C) 1597 of 2003,WP (C) 1597 of 2003,15 WP (C) 1597 of 2003,15 डबल्यू॰ पी॰ (सी॰) 1597/2003,d06a728f-d147-461f-909b-17864d6246ff,51f38f3b-efc9-41e4-be6d-248829dfab5a
1210,0.4,0.7142857142857143,WP (C) 1,WP (C) 16010 of 2006,15 WP (C) 1597 of 2003,15 डबल्यू॰ पी॰ (सी॰) 1597/2003,d06a728f-d147-461f-909b-17864d6246ff,eda4c9cb-1afb-4790-bda6-d2b27a7f5bb3
1237,1.0,0.7692307692307693,“PIL”,“PIL”,16 “PIL”,16 पीआईएल ,2f88e94f-3497-4d28-8652-00a25dbb321d,d8be9c3d-b359-4177-ba65-3141e4693c6c
1444,1.0,0.8918205804749341,Short Service Commission (SSC) Technical in the Regular Army will be granted for 14 years i.e. for an initial period of ten years extendable by a further of four years.”,“(a) Tenure of Short Service Commission: Short Service Commission (SSC) Technical in the Regular Army will be granted for 14 years i.e. for an initial period of ten years extendable by a further of four years.”,Short Service Commission (SSC) Technical in the Regular Army will be granted for 14 years i.e. for an initial period of ten years extendable by a further of four years.”,"नियमित सेना में शॉर्ट सर्विस कमीशन (एसएससी) तकनीकी 14 साल के लिए दी जाएगी, यानी शुरुआती दस साल की अवधि के लिए चार साल की अवधि के लिए।",cf0ff79a-5d2c-465f-8185-34598cf37cce,43ec24fb-0d59-461f-86a0-2b4b7c5c23f0
