,percent,ratio,overlap,doc_text,src,tgt,s_id,doc_id
0,1.0,0.7129629629629629,The officers who were granted commission under the Army instruction were not entitled to PC or to any extension beyond five years of commissioned service.,The original ToE provided for a contractual period of five years after which the officers were to be released from service. The officers who were granted commission under the Army instruction were not entitled to PC or to any extension beyond five years of commissioned service.,The officers who were granted commission under the Army instruction were not entitled to PC or to any extension beyond five years of commissioned service.,"जिन अधिकारियों को सेना के निर्देश के तहत कमीशन दिया गया था, वे पीसी या कमीशन सेवा के पांच साल से परे किसी भी विस्तार के हकदार नहीं थे।",0b00e9d2-e44a-4476-853a-749818bacf81,0ae333e5-9cc2-4798-be8e-1a5e6368526c
1,0.9917127071823204,0.5890073831009024,"On 1 August 1996, an amendment was issued to the WSES, under which the commission for an initial period of five years was made further extendable by five years in the Regiment of Artillery, Corps of Engineers, Corps of Signals, Army Service Corps, Army Ordinance Corps, Corps of Electrical and Mechanical engineers, AEC, Intelligence Corps and JAG department.","On 1 August 1996, an amendment was issued to the WSES, under which the commission for an initial period of five years was made further extendable by five years in the Regiment of Artillery, Corps of Engineers, Corps of Signals, Army Service Corps, Army Ordinance Corps, Corps of Electrical and Mechanical engineers, AEC, Intelligence Corps and JAG department. Women who had been granted commission for an initial period of five years were required to furnish an option for extension by five years or for release. A provision was made for promotion on a substantive basis to the rank of a Lieutenant after two years and to the rank of Captain after five years. The provision contained in para 19 of the earlier Army instruction for the release from service on the completion of the contractual period of five years was substituted by the following provision:","9. On 1 August 1996, an amendment was issued to the WSES, under which the commission for an initial period of five years was made further extendable by five years in the Regiment of Artillery, Corps of Engineers, Corps of Signals, Army Service Corps, Army Ordinance Corps, Corps of Electrical and Mechanical engineers, AEC, Intelligence Corps and JAG department.","9. 1 अगस्त, 1996 को WES को एक संशोधन जारी किया गया था, जिसके तहत आर्टिलरी, कोर ऑफ इंजीनियर्स, सिग्नल की कोर, आर्मी सर्विस कोर, आर्मी ऑर्डिनेंस कोर, कोर ऑफ इलेक्ट्रिकल और मैकेनिकल इंजीनियरों की कोर, एईसी, इंटेलिजेंस कोर और जेएजी विभाग की रेजिमेंट में पांच साल तक आयोग को और अधिक विस्तार दिया गया था।",10f14a06-aaf9-4212-b005-2033c4a46302,068b4c0d-91b1-4369-9083-e715c1a09b8a
2,1.0,0.5427350427350427,"The Army instruction broadly followed the same course, as a consequence of which a cap on the length of service was introduced.","November 2005, the MoD provided that the tenure of WSES officers would be extended up to fourteen years. The Army instruction broadly followed the same course, as a consequence of which a cap on the length of service was introduced. The initial process of induction under the WSES was replaced by SSCs with an outer period of fourteen years.","The Army instruction broadly followed the same course, as a consequence of which a cap on the length of service was introduced.","सेना के निर्देश ने मोटे तौर पर उसी पाठ्यक्रम का पालन किया, जिसके परिणामस्वरूप सेवा की लंबाई पर एक कैप पेश किया गया था।",564710e6-3d68-4280-ae52-c35657ea737a,ce490d04-1b1a-4a96-8da1-c4ca8fc6644a
3,1.0,0.926829268292683,WP (C) 1597 of 2003,WP (C) 1597 of 2003,15 WP (C) 1597 of 2003,15 डबल्यू॰ पी॰ (सी॰) 1597/2003,d06a728f-d147-461f-909b-17864d6246ff,51f38f3b-efc9-41e4-be6d-248829dfab5a
4,0.4,0.7142857142857143,WP (C) 1,WP (C) 16010 of 2006,15 WP (C) 1597 of 2003,15 डबल्यू॰ पी॰ (सी॰) 1597/2003,d06a728f-d147-461f-909b-17864d6246ff,eda4c9cb-1afb-4790-bda6-d2b27a7f5bb3
5,1.0,0.8918205804749341,Short Service Commission (SSC) Technical in the Regular Army will be granted for 14 years i.e. for an initial period of ten years extendable by a further of four years.”,“(a) Tenure of Short Service Commission: Short Service Commission (SSC) Technical in the Regular Army will be granted for 14 years i.e. for an initial period of ten years extendable by a further of four years.”,Short Service Commission (SSC) Technical in the Regular Army will be granted for 14 years i.e. for an initial period of ten years extendable by a further of four years.”,"नियमित सेना में शॉर्ट सर्विस कमीशन (एसएससी) तकनीकी 14 साल के लिए दी जाएगी, यानी शुरुआती दस साल की अवधि के लिए चार साल की अवधि के लिए।",cf0ff79a-5d2c-465f-8185-34598cf37cce,43ec24fb-0d59-461f-86a0-2b4b7c5c23f0
6,0.9735099337748344,0.7924528301886793,Para 1(c) enabled newly inducted women officers other than those with a specialised course to leave service after completing five years of service.,Para 1(c) enabled newly inducted women officers other than those with a specialised course to leave service after completing five years of service. Substantive promotions were provided in Para (e) in the following terms:,14. Para 1(c) enabled newly inducted women officers other than those with a specialised course to leave service after completing five years of service.,14. पैरा 1 (सी) ने पांच साल की सेवा पूरी करने के बाद सेवा छोड़ने के लिए एक विशेष पाठ्यक्रम के अलावा अन्य महिला अधिकारियों को सक्षम किया।,c384ff22-b381-4ebc-b909-913ac3257b4a,727f6eed-012d-4f7d-a672-4cf2032c0d09
7,1.0,0.8870967741935484,Women granted Short Service Commission under these rules will be eligible for substantive promotion as under:-,“(e) Substantive Promotion: Women granted Short Service Commission under these rules will be eligible for substantive promotion as under:-,Women granted Short Service Commission under these rules will be eligible for substantive promotion as under:-,इन नियमों के तहत महिलाओं को लघु सेवा आयोग प्रदान किया गया है निम्न के रूप में पर्याप्त पदोन्नति के लिए पात्र होंगे: -,7414f3d5-40e2-4468-9824-9ce9bc977feb,f857c3d9-6fe9-4551-bd05-b48b1a922c13
8,1.0,0.9753086419753086,To the rank of Capt - On completion of 2 years reckonable commissioned service.,To the rank of Capt - On completion of 2 years reckonable commissioned service.,(i) To the rank of Capt - On completion of 2 years reckonable commissioned service.,(i) कैप्चर रैंक-2 साल के पूरा होने पर अनुमानित कमीशन सेवा।,4922d2b8-e463-4782-96f6-583abf310bdd,b40c963b-f8b3-45f1-bd80-b6f226485b9f
9,0.5,0.9316770186335404, years reckonable commissioned service.,To the rank of Maj - On completion of 6 years reckonable commissioned service.,(i) To the rank of Capt - On completion of 2 years reckonable commissioned service.,(i) कैप्चर रैंक-2 साल के पूरा होने पर अनुमानित कमीशन सेवा।,4922d2b8-e463-4782-96f6-583abf310bdd,c3c83e43-31a1-4979-8d8c-0f9c1507afa8
10,0.46987951807228917,0.9036144578313253, years reckonable commissioned service.,To the rank of LT Col - On completion of 13 years reckonable commissioned service.”,(i) To the rank of Capt - On completion of 2 years reckonable commissioned service.,(i) कैप्चर रैंक-2 साल के पूरा होने पर अनुमानित कमीशन सेवा।,4922d2b8-e463-4782-96f6-583abf310bdd,518b2372-1373-4636-b70e-a663a5c9874b
11,0.4482758620689655,0.65,djustment of ,Para 1(g) provided for the adjustment of seniority:,“(g) Adjustment of Seniority:,“ (छ) वरिष्ठता का समायोजन:,3bb7b878-0c9b-4fe6-b46d-27738160d513,3e085f63-d7b2-4dad-ab19-84cc3cbeb27b
